,playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast
437,armstho01,1889.0,12.0,2.0,Howard,Armstrong
438,armstja01,1965.0,3.0,7.0,Jack,Armstrong
439,armstmi01,1954.0,3.0,7.0,Mike,Armstrong
440,armstsh01,1990.0,9.0,11.0,Shawn,Armstrong
441,arndtha01,1879.0,2.0,12.0,Harry,Arndt
442,arndtla01,1963.0,2.0,25.0,Larry,Arndt
443,arnolbi01,1851.0,3.0,2.0,Billy,Arnold
444,arnolch01,1947.0,11.0,6.0,Chris,Arnold
445,arnolja01,1974.0,3.0,24.0,Jamie,Arnold
446,arnolsc01,1962.0,8.0,18.0,Scott,Arnold
447,arnolto01,1959.0,5.0,3.0,Tony,Arnold
448,arnovmo01,1910.0,11.0,16.0,Morrie,Arnovich
449,arnsbbr01,1963.0,8.0,20.0,Brad,Arnsberg
450,arntzor01,1909.0,10.0,18.0,Orie,Arntzen
451,arochre01,1964.0,2.0,24.0,Rene,Arocha
452,arojo01,1990.0,10.0,10.0,Jonathan,Aro
453,arredjo01,1984.0,3.0,12.0,Jose,Arredondo
454,arrieja01,1986.0,3.0,6.0,Jake,Arrieta
455,arrigge01,1941.0,6.0,12.0,Gerry,Arrigo
456,arrojro01,1968.0,7.0,18.0,Rolando,Arrojo
457,arroybr01,1977.0,2.0,24.0,Bronson,Arroyo
458,arroyfe01,1952.0,3.0,21.0,Fernando,Arroyo
459,arroylu01,1927.0,2.0,18.0,Luis,Arroyo
